ranking,full name,ticker,industry,sector,hq location,hq address,years on list,ceo,employees,revenues,profits,hq zip,website,fortune 500 rank,revenue change,profit change,assets,hq state
67,Carrefour SA,CRRFY,Food and Drug Stores,Food & Drug Stores,"Boulogne-Billancourt, France",33 Ave. Emile Zola,23,Georges Plassat,384151,87112,825,92100,http://www.carrefour.com,,-0.4,-24.1,51513,
68,Dongfeng Motor Corporation,,Motor Vehicles and Parts,Motor Vehicles & Parts,"Wuhan, China",1 Dongfeng Rd.,8,Li Shaozhu,189795,86194,1415,430056,http://www.dfmc.com.cn,,4.1,-4.4,59532,
69,Microsoft Corporation,MSFT,Computer Software,Technology,"Redmond, WA",1 Microsoft Way,20,Satya Nadella,114000,85320,16798,98052,http://www.microsoft.com,28,-8.8,37.8,193694,Washington
70,"Anthem, Inc.",ANTM,Health Care: Insurance and Managed Care,Health Care,"Indianapolis, IN",120 Monument Circle,16,Joseph R. Swedish,53000,84863,2469.8,46204,http://www.antheminc.com,29,7.2,-3.5,65083,Indiana
71,"Hitachi, Ltd.",HTHIY,"Electronics, Electrical Equip.",Technology,"Tokyo, Japan",1-6-6 Marunouchi,23,Toshiaki Higashihara,303887,84558,2134.3,100-8280,http://www.hitachi.com,,1.2,48.8,86742,
72,SoftBank Group Corp.,SFTBY,Telecommunications,Telecommunications,"Tokyo, Japan",1-9-1 Higashi-Shinbashi,10,Masayoshi Son,68402,82892,13163.4,105-7303,http://www.softbank.jp,,8.4,233.3,221113,
73,"Banco Santander, S.A.",SAN,Banks: Commercial and Savings,Financials,"Madrid, Spain",Avda. De Cantabria,23,Jose Antonio Alvarez,185606,82801,6860.7,28660,http://www.santander.com,,-2.5,3.7,1412281,
74,Citigroup Inc.,C,Banks: Commercial and Savings,Financials,"New York, NY",388 Greenwich St.,23,Michael L. Corbat,219000,82386,14912,10013,http://www.citigroup.com,30,-6.7,-13.5,1792077,New York
75,Petroleo Brasileiro SA,PBR,Petroleum Refining,Energy,"Rio de Janeiro, Brazil",Av. Henrique Valadares 28,23,Pedro Pullen Parente,68829,81405,-4838,20031-030,http://www.petrobras.com.br,,-16.3,,246983,
76,Robert Bosch GmbH,,Motor Vehicles and Parts,Motor Vehicles & Parts,"Stuttgart, Germany",Postfach 106050,23,Volkmar Denner,389281,80869,2155.3,70049,http://www.bosch.com,,3.3,-39.1,86348,
77,Deutsche Telekom AG,DTEGY,Telecommunications,Telecommunications,"Bonn, Germany",Friedrich Ebert Allee 140,23,Timotheus Hottges,221000,80832,2958.1,53113,http://www.telekom.com,,5.3,-18,156597,
78,Hyundai Motor Company,HYMTF,Motor Vehicles and Parts,Motor Vehicles & Parts,"Seoul, South Korea",12 Heolleung-ro,22,Mong-Koo Chung,129315,80701,4659,6797,http://worldwide.hyundai.com,,-0.8,-17.9,148092,
79,Comcast Corporation,CMCSA,Telecommunications,Telecommunications,"Philadelphia, PA",1 Comcast Center,15,Brian L. Roberts,159000,80403,8695,19103,http://www.comcastcorporation.com,31,7.9,6.5,180500,Pennsylvania
80,Credit Agricole SA,CRARY,Banks: Commercial and Savings,Financials,"Paris, France",91-93 Blvd. Pasteur,23,Philippe Brassac,70830,80258,3914.7,75015,http://www.credit-agricole.com,,-4.6,0.4,1607501,
81,International Business Machines Corporation,IBM,Information Technology Services,Technology,"Armonk, NY",1 New Orchard Rd.,23,Virginia M. Rometty,414400,79919,11872,10504,http://www.ibm.com,32,-3.1,-10,117470,New York
82,Electricite de France S.A.,ECIFY,Utilities,Energy,"Paris, France",22-30 Ave. de Wagram,23,Jean-Bernard Levy,154808,78740,3152.8,75008,http://www.edf.fr,,-5.4,139.4,297026,
83,"Huawei Investment and Holding Co., Ltd.",,Network and Other Communications Equipment,Technology,"Shenzhen, China",Huawei Industrial Base,8,Ren Zhengfei,180000,78511,5579.4,518129,http://www.huawei.com,,24.9,-5,63837,
84,"Enel, SpA",ENLAY,Utilities,Energy,"Rome, Italy",Viale Regina Margherita 137,23,Francesco Starace,62080,78064,2842,198,http://www.enel.com,,-7,16.7,164096,
85,State Farm Insurance Cos.,,Insurance: Property and Casualty (Mutual),Financials,"Bloomington, IL",1 State Farm Plaza,23,Michael L. Tipsord,68234,76132,350.3,61710,http://www.statefarm.com,33,0.6,-94.4,256030,Illinois
86,China Resources National Corporation,,Pharmaceuticals,Health Care,"Hong Kong, China",26 Harbour Rd.,8,Luo Xi,420572,75776,2580.2,,http://www.crc.com.hk,,-1,3.7,158291,
87,"AEON Co., Ltd.",AONNY,General Merchandisers,Retailing,"Chiba, Japan",1-5-1 Nakase,23,Motoya Okada,274760,75772,103.9,261-8515,http://www.aeon.info,,11.8,108.6,78223,
88,HSBC Holdings plc,HSBC,Banks: Commercial and Savings,Financials,"London, Britain",8 Canada Sq.,23,Stuart T. Gulliver,241000,75329,2479,E14 5HQ,http://www.hsbc.com,,-15.4,-81.7,2374986,
89,Pacific Construction Group Company Limited,,"Engineering, Construction",Engineering & Construction,"Nanjing, China",1 Wutaishan,4,Yan Hao,362128,74629,3168.1,210029,http://www.cpcg.com.cn,,2.2,-1.2,48196,
90,Aviva plc,AVVIY,"Insurance: Life, Health (stock)",Financials,"London, Britain",1 Undershaft,23,Mark Wilson,29530,74628,948.8,EC3P 3DQ,http://www.aviva.com,,105.9,-32.3,544063,
91,Uniper SE,UNPRF,Energy,Energy,"Dusseldorf, Germany",E.ON Platz 1,1,Klaus Schafer,12890,74407,-3557.5,40479,http://www.uniper.energy,,,,51541,
92,Tesco PLC,TSCDY,Food and Drug Stores,Food & Drug Stores,"Welwyn Garden City, Britain",Kestrel Way,23,David J. Lewis,342770,74393,-52.7,AL7 1GA,http://www.tescoplc.com,,-15.1,-125.3,57052,
93,Engie SA,ENGIY,Energy,Energy,"Courbevoie, France",1 Place Samuel de Champlain,22,Isabelle Kocher,153090,73692,-458.9,92400,http://www.engie.com,,-4.9,,167158,
94,Airbus Group SE,EADSY,Aerospace and Defense,Aerospace & Defense,"Leiden, Netherlands",Mendelweg 30,23,Thomas Enders,133782,73628,1100.3,2333,http://www.airbusgroup.com,,3,-63.2,117204,
95,"SK Holdings Co., LTD.",,Petroleum Refining,Energy,"Seoul, South Korea",26 Jongro,2,Tae Won Chey,84000,72579,659.7,3188,http://www.sk.co.kr,,107.4,-86,85332,
96,Phillips 66,PSX,Petroleum Refining,Energy,"Houston, TX",2331 CityWest Blvd.,5,Greg C. Garland,14800,72396,1555,77042,http://www.phillips66.com,34,-16.9,-63.2,51653,Texas
97,Johnson & Johnson,JNJ,Pharmaceuticals,Health Care,"New Brunswick, NJ",1 Johnson & Johnson Plaza,17,Alex Gorsky,126400,71890,16540,8933,http://www.jnj.com,35,2.6,7.3,141208,New Jersey
98,The Procter & Gamble Company,PG,Household and Personal Products,Household Products,"Cincinnati, OH",1 Procter & Gamble Plaza,23,David S. Taylor,105000,71726,10508,45202,http://www.pg.com,36,-8.9,49.3,127136,Ohio
99,United States Postal Service,,"Mail, Package, and Freight Delivery",Transportation,"Washington, DC",475 L'Enfant Plaza S.W.,23,Megan J. Brennan,574349,71498,-5591,20260,http://www.usps.com,,3.7,,25219,District of Columbia
100,"China Southern Power Grid Co., Ltd.",,Utilities,Energy,"Guangzhou, China",11 Kexiang Rd.,13,Li Qingkui,302421,71242,2329.8,510530,http://www.csg.cn,,-4.6,4.8,99187,
101,China South Industries Group Corporation,,Aerospace and Defense,Aerospace & Defense,"Beijing, China",10 Chedaogou St.,8,Xu Liuping,232817,71151,580.3,100089,http://www.chinasouth.com.cn,,1.5,-61,51857,
102,PJSC Lukoil,LUKOY,Petroleum Refining,Energy,"Moscow, Russia",11 Sretensky Blvd.,18,Vagit Y. Alekperov,105500,70897,3090.6,101000,http://www.lukoil.com,,-16.3,-35.1,82179,
103,China Communications Construction Group Ltd.,,"Engineering, Construction",Engineering & Construction,"Beijing, China",85 Deshengmenwai St.,10,Liu Qitao,152666,70751,1431.3,100088,http://www.ccccltd.cn,,4.4,-16.2,146763,
104,Groupe BPCE,,Banks: Commercial and Savings,Financials,"Paris, France",,8,Francois Perol,102827,70517,4410.1,75201,http://www.groupebpce.fr,,25.5,22.6,1302721,
105,Sony Corporation,SNE,"Electronics, Electrical Equip.",Technology,"Tokyo, Japan",1-7-1 Konan,23,Kazuo Hirai,128400,70170,676.4,108-0075,http://www.sony.net,,3.9,-45.1,158519,
106,Valero Energy Corporation,VLO,Petroleum Refining,Energy,"San Antonio, TX",1 Valero Way,17,Joseph W. Gorder,9996,70166,2289,78249,http://www.valero.com,37,-14.2,-42.6,46173,Texas
107,Target Corporation,TGT,General Merchandisers,Retailing,"Minneapolis, MN",1000 Nicollet Mall,23,Brian C. Cornell,323000,69495,2737,55403,http://www.target.com,38,-5.8,-18.6,37431,Minnesota
108,Societe Generale Group,SCGLY,Banks: Commercial and Savings,Financials,"Paris, France",29 Blvd. Haussmann,21,Frederic Oudea,151341,69335,4284,75009,http://www.societegenerale.com,,-1.1,-3.5,1457753,
109,Munchener Ruckversicherungs-Gesellschaft Aktiengesellschaft,MURGY,Insurance: Property and Casualty (Stock),Financials,"Munich, Germany",Koniginstrasse 107,23,Joachim Wenning,43428,68700,2853.1,80802,http://www.munichre.com,,-1.1,-17.2,282435,
110,Panasonic Corporation,PCRFY,"Electronics, Electrical Equip.",Technology,"Osaka, Japan",1006 Kadoma,23,Kazuhiro Tsuga,257533,67775,1378.4,571-8501,http://www.panasonic.com/global,,6.7,0.2,53702,
111,Nippon Life Insurance Company,,"Insurance: Life, Health (Mutual)",Financials,"Osaka, Japan",3-5-12 Imabashi,23,Yoshinobu Tsutsui,85171,67388,2786.9,541-8501,http://www.nissay.co.jp,,0.4,-17.1,650429,
112,Zurich Insurance Group Ltd.,ZURVY,Insurance: Property and Casualty (Stock),Financials,"Zurich, Switzerland",Mythenquai 2,23,Mario Greco,52473,67245,3211,8002,http://www.zurich.com,,11,74.3,382679,
113,Itau Unibanco Holding S.A.,ITUB,Banks: Commercial and Savings,Financials,"Sao Paulo, Brazil",Praca Alfredo Egydio de Souza Aranha 100,4,Candido Botelho Bracher,94779,66876,6666.4,04344-902,http://www.itau.com.br,,21.4,-13.7,415972,
114,The People's Insurance Company (Group) of China Limited,PINXY,Insurance: Property and Casualty (Stock),Financials,"Beijing, China",88 West Chang'an Ave.,8,Wu Yan,188570,66732,2144.3,100031,http://www.picc.com.cn,,3.3,-31,134132,
115,China National Offshore Oil Corporation,,"Mining, Crude-Oil Production",Energy,"Beijing, China",25 Chaoyangmenbei Dajie,11,Yang Hua,100821,65892,1752.4,100010,http://www.cnooc.com.cn,,-2.8,-62,166595,
116,Marubeni Corporation,MARUY,Trading,Wholesalers,"Tokyo, Japan","2-7-1, Nihonbashi",23,Fumiya Kokubu,39952,65792,1433.7,103-6060,http://www.marubeni.com,,8.2,176.4,61904,
117,Deutsche Post AG,DPSGY,"Mail, Package, and Freight Delivery",Transportation,"Bonn, Germany",Charles de Gaulle Str. 20,23,Frank Appel,459262,65787,2918.3,53113,http://www.dpdhl.com,,-3.8,70.8,40387,
118,Freddie Mac,FMCC,Diversified Financials,Financials,"McLean, VA",8200 Jones Branch Dr.,21,Donald H. Layton,5982,65665,7815,22102,http://www.freddiemac.com,39,3.4,22.6,2023376,Virginia
119,China Post Group Company,,"Mail, Package, and Freight Delivery",Transportation,"Beijing, China",3 Financial St.,7,Li Guohua,941211,65605,4980.3,100808,http://www.chinapost.com.cn,,-5.8,18.7,1221649,
120,China Minmetals Corporation,,Metals,Materials,"Beijing, China",5 Sanlihe Rd.,11,He Wenbo,212406,65547,-446.7,100044,http://www.minmetals.com,,105.6,,109334,
121,Lloyds Banking Group plc,LYG,Banks: Commercial and Savings,Financials,"London, Britain",25 Gresham St.,23,Antonio Horta-Osorio,70433,65208,2784.4,EC2V 7HN,http://www.lloydsbankinggroup.com,,38.2,111.9,1010245,
122,"Lowe's Companies, Inc.",LOW,Specialty Retailers,Retailing,"Mooresville, NC",1000 Lowe's Blvd.,20,Robert A. Niblock,240000,65017,3093,28117,http://www.lowes.com,40,10.1,21.5,34408,North Carolina
123,Metro AG,MTTRY,Food and Drug Stores,Food & Drug Stores,"Dusseldorf, Germany",Metro Strasse 1,22,Olaf Koch,196540,64853,665,40235,http://www.metrogroup.de,,-9,-13.6,28039,
124,Dell Technologies Inc.,,"Computers, Office Equipment",Technology,"Round Rock, TX",1 Dell Way,17,Michael S. Dell,138000,64806,-1672,78682,http://www.delltechnologies.com,41,18.1,,118206,Texas
125,China FAW Group Corporation,,Motor Vehicles and Parts,Motor Vehicles & Parts,"Changchun, China",2259 Dongfeng St.,13,Xu Ping,122323,64784,2411.3,130011,http://www.faw.com.,,3.1,-25.9,54772,
126,BASF SE,BASFY,Chemicals,Chemicals,"Ludwigshafen, Germany",Carl Bosch Str. 38,23,Kurt W. Bock,109543,63641,4485.3,67056,http://www.basf.com,,-18.6,1.4,80675,
127,"JXTG Holdings, Inc.",JXHLY,Petroleum Refining,Energy,"Tokyo, Japan",1-1-2 Ohtemachi,23,Yukio Uchida,26247,63629,1477.3,100-8161,http://www.hd.jxtg-group.co.jp,,1.8,,59767,
128,"MetLife, Inc.",MET,"Insurance: Life, Health (stock)",Financials,"New York, NY",200 Park Ave.,23,Steven A. Kandarian,58000,63476,800,10166,http://www.metlife.com,42,-9.3,-84.9,898764,New York
129,"Tewoo Group Co., Ltd.",,,,,,0,,0,0,0,,,0,0,0,0,
