ranking,full name,ticker,industry,sector,hq location,hq address,years on list,ceo,employees,revenues,profits,hq zip,website,fortune 500 rank,revenue change,profit change,assets,hq state
162,Aviation Industry Corporation of China,,Aerospace and Defense,Aerospace & Defense,"Beijing, China","Building 19, Compound A5, Shuguang Xili",9,Tan Ruisong,457097,55306,464.2,100028,http://www.avic.com,,-8.2,-47.4,124892,
163,ING Groep N.V.,ING,Banks: Commercial and Savings,Financials,"Amsterdam, Netherlands",Bijlmerplein 888,23,Ralph Hamers,51943,55282,5501.6,1102,http://www.ing.com,,-16.5,0.7,888226,
164,"Mitsubishi UFJ Financial Group, Inc.",MTU,Banks: Commercial and Savings,Financials,"Tokyo, Japan",2-7-1 Marunouchi,16,Nobuyuki Hirano,115276,55185,8550.1,100-8330,http://www.mufg.jp,,15.9,7.9,2722354,
165,Koninklijke Ahold Delhaize N.V.,ADRNY,Food and Drug Stores,Food & Drug Stores,"Zaandam, Netherlands",Provincialeweg 11,23,Dick Boer,225000,54955,917.9,1506,http://www.aholddelhaize.com,,29.7,-2.9,38257,
166,Humana Inc.,HUM,Health Care: Insurance and Managed Care,Health Care,"Louisville, KY",500 W. Main St.,19,Bruce D. Broussard,51600,54379,614,40202,http://www.humana.com,53,0.2,-51.9,25396,Kentucky
167,"Seven & I Holdings Co., Ltd.",SVNDY,Food and Drug Stores,Food & Drug Stores,"Tokyo, Japan",8-8 Niban-cho,12,Ryuichi Isaka,54712,53858,892.9,102-8452,http://www.7andi.com,,7.5,-33,49244,
168,Indian Oil Corporation Limited,,Petroleum Refining,Energy,"New Delhi, India",3079/3 Sadiq Nagar,23,Sanjiv Singh,34999,53562,2960,110 049,http://www.iocl.com,,-2.1,72.7,42132,
169,Roche Holding Ltd.,RHHBY,Pharmaceuticals,Health Care,"Basel, Switzerland",Grenzacherstrasse 124,23,Severin Schwan,94052,53427,9719.9,4070,http://www.roche.com,,2,5.5,75609,
170,"HNA Group Co., Ltd.",,Airlines,Transportation,"Haikou City, China",7 Guoxing Rd.,3,Tan Xiangdong,220258,53035,278.9,570203,http://www.hnagroup.com,,79.4,18.7,173095,
171,"Bank of Communications Co., Ltd.",BCMXY,Banks: Commercial and Savings,Financials,"Shanghai, China",188 Yincheng Zhong Rd.,9,Niu Ximing,95160,52990,10116.9,200120,http://www.bankcomm.com,,-7.1,-4.4,1209176,
172,CITIC Group Corporation,,Diversified Financials,Financials,"Beijing, China",6 Xinyuan Nan Rd.,9,Chang Zhenming,201263,52852,3236.3,100004,http://www.citicgroup.com.cn,,-5.5,-14,938261,
173,Pfizer Inc.,PFE,Pharmaceuticals,Health Care,"New York, NY",235 E. 42nd St.,23,Ian C. Read,96500,52824,7215,10017,http://www.pfizer.com,54,8.1,3.7,171615,New York
174,Bayer AG,BAYRY,Pharmaceuticals,Health Care,"Leverkusen, Germany",Kaiser Wilhelm Allee 1,23,Werner Baumann,115170,52569,5010.6,51368,http://www.bayer.com,,0.3,9.9,86731,
175,"American International Group, Inc.",AIG,Insurance: Property and Casualty (Stock),Financials,"New York, NY",175 Water St.,22,Brian Duperreault,56400,52367,-849,10038,http://www.aig.com,55,-10.2,-138.7,498264,New York
176,"America Movil, S.A.B. de C.V.",AMX,Telecommunications,Telecommunications,"Mexico City, Mexico",Lago Zurich 245,11,Daniel Hajj Aboumrad,194193,52201,462.9,11529,http://www.americamovil.com,,-7.4,-79,73555,
177,Korea Electric Power Corporation,KEP,Utilities,Energy,"Jeollanam-do, South Korea",55 Jeollyeok-ro,23,Hwan-Eik Cho,43688,51500,6074.1,58217,http://www.kepco.co.kr,,-0.6,-48.3,147265,
178,Lockheed Martin Corporation,LMT,Aerospace and Defense,Aerospace & Defense,"Bethesda, MD",6801 Rockledge Dr.,23,Marillyn A. Hewson,97000,50658,5302,20817,http://www.lockheedmartin.com,56,9.8,47.1,47806,Maryland
179,Sysco Corporation,SYY,Wholesalers: Food and Grocery,Wholesalers,"Houston, TX",1390 Enclave Pkwy.,23,William J. DeLaney III,51900,50367,949.6,77077,http://www.sysco.com,57,3.5,38.3,16722,Texas
180,FedEx Corporation,FDX,"Mail, Package, and Freight Delivery",Transportation,"Memphis, TN",942 S. Shady Grove Rd.,23,Frederick W. Smith,335767,50365,1820,38120,http://www.fedex.com,58,6.1,73.3,46064,Tennessee
181,Hewlett Packard Enterprise Company,HPE,Information Technology Services,Technology,"Palo Alto, CA",3000 Hanover St.,1,Margaret C. Whitman,195000,50123,3161,94304,http://www.hpe.com,59,,,79679,California
182,Louis Dreyfus Company B.V.,,Food Production,"Food, Beverages & Tobacco","Rotterdam, Netherlands",Westblaak 92,4,Gonzalo Ramirez Martiarena,17407,49838,305,3012,http://www.ldc.com,,-10.6,44.5,19843,
183,"Amer International Group Co., Ltd.",,,,,,0,,0,0,0,,,0,0,0,0,
184,Petroliam Nasional Berhad,,Petroleum Refining,Energy,"Kuala Lumpur, Malaysia","Tower 1, Petronas Twin Towers",21,Wan Zulkiflee Wan Ariffin,51034,49479,4092.9,50088,http://www.petronas.com.my,,-22,21.4,134528,
185,"Tokyo Electric Power Company Holdings, Incorporated",TKECY,Utilities,Energy,"Tokyo, Japan",1-1-3 Uchisaiwai-cho,23,Naomi Hirose,42060,49446,1225.7,100-8560,http://www.tepco.co.jp,,-2.2,4.5,110202,
186,Novartis AG,NVS,Pharmaceuticals,Health Care,"Basel, Switzerland",Lichtstrasse 35,23,Joseph Jimenez,118393,49436,6712,4056,http://www.novartis.com,,-3.1,-62.3,130124,
187,"Cisco Systems, Inc.",CSCO,Network and Other Communications Equipment,Technology,"San Jose, CA",170 W. Tasman Dr.,18,Charles H. Robbins,73700,49247,10739,95134,http://www.cisco.com,60,0.2,19.6,121652,California
188,"MS&AD Insurance Group Holdings, Inc.",MSADY,Insurance: Property and Casualty (Stock),Financials,"Tokyo, Japan",2-27-2 Shinkawa,19,Yasuyoshi Karasawa,40641,49239,1942.2,104-0033,http://www.ms-ad-hd.com,0,0,0,0,
189,Deutsche Bank Aktiengesellschaft,DB,Banks: Commercial and Savings,Financials,"Frankfurt, Germany",Taunusanlage 12,23,John Cryan,99744,48876,-1550.4,60325,http://www.db.com,,-6.8,,1677437,
190,Power Construction Corporation of China,,"Engineering, Construction",Engineering & Construction,"Beijing, China",22 Chegongzhuang W. Rd.,6,Yan Zhiyong,187813,48869,1057.6,100048,http://www.powerchina.cn,,7.2,-9.6,86687,
191,JBS S.A.,JBSAY,Food Production,"Food, Beverages & Tobacco","Sao Paulo, Brazil",Av. Marginal Direita do Tiete 500,8,Wesley Mendonca Batista,237061,48825,107.7,05118-100,http://jbss.infoinvest.com.br,,-0.1,-92.3,31605,
192,PTT Public Company Limited,PUTRF,Petroleum Refining,Energy,"Bangkok, Thailand",555 Vibhavadi Rangsit Rd.,14,Tevin Vongvanich,24934,48719,2681.6,10900,http://www.pttplc.com,,-17.7,360.6,62349,
193,"Tokio Marine Holdings, Inc.",TKOMY,Insurance: Property and Casualty (Stock),Financials,"Tokyo, Japan",1-2-1 Marunouchi,23,Tsuyoshi Nagano,38842,48292,2527.4,100-0005,http://www.tokiomarinehd.com,,26.6,19.2,202923,
194,HP Inc.,HPQ,"Computers, Office Equipment",Technology,"Palo Alto, CA",1501 Page Mill Rd.,23,Dion J. Weisler,49000,48238,2496,94304,http://www.hp.com,61,-53.3,-45.2,29010,California
195,RWE Aktiengesellschaft,RWEOY,Utilities,Energy,"Essen, Germany",Opernplatz 1,23,Rolf Martin Schmitz,58652,48204,-6249.1,45128,http://www.rwe.com,,-6.6,,80576,
196,The Dow Chemical Company,DOW,Chemicals,Chemicals,"Midland, MI",2030 Dow Center,23,Andrew N. Liveris,56000,48158,4318,48674,http://www.dow.com,62,-1.3,-43.8,79511,Michigan
197,Finatis SA,,Food and Drug Stores,Food & Drug Stores,"Paris, France",83 Rue du Faubourg St. Honore,3,Didier Leveque,232503,48154,687.8,75008,http://www.finatis.fr,,-7.3,,46270,
198,Wesfarmers Limited,WFAFY,Food and Drug Stores,Food & Drug Stores,"Perth, Australia",40 The Esplanade,9,Richard J.B. Goyder,220000,48003,296.1,6000,http://www.wesfarmers.com.au,,-7.6,-85.4,30358,
199,China National Pharmaceutical Group Corporation,,Pharmaceuticals,Health Care,"Beijing, China",20 Zhichun Rd.,5,She Lulin,106772,47810,504,100191,http://www.sinopharm.com,,7.9,13.7,36767,
200,CNP Assurances SA,CNPAY,"Insurance: Life, Health (stock)",Financials,"Paris, France",4 Place Raoul Dautry,23,Frederic Lavenir,5035,47804,1327.3,75015,http://www.cnp.fr,0,0,0,0,
201,LG Electronics Inc.,,"Electronics, Electrical Equip.",Technology,"Seoul, South Korea",128 Yeoui-daero,17,Seong-Jin Jo,75000,47712,66.2,7336,http://www.lg.com,,-4.6,-39.8,31348,
202,"Sumitomo Mitsui Financial Group, Inc.",SMFG,Banks: Commercial and Savings,Financials,"Tokyo, Japan",1-1-2 Marunouchi,23,Takeshi Kunibe,77205,47375,6520.5,100-0005,http://www.smfg.co.jp,,19.2,21,1775349,
203,Reliance Industries Limited,,Petroleum Refining,Energy,"Mumbai, India",222 Nariman Point,14,Mukesh D. Ambani,140483,46931,4458.9,400021,http://www.ril.com,,8,5.6,108856,
204,China Baowu Steel Group Corporation Limited,,Metals,Materials,"Shanghai, China",1859 Shibo Ave.,14,Ma Guoqiang,169344,46606,442.8,200126,http://www.baowugroup.com,,-11.5,,106725,
205,Noble Group Limited,NOBGY,Trading,Wholesalers,"Hong Kong, China",38 Gloucester Rd.,10,William J. Randall,1000,46528,8.7,,http://www.thisisnoble.com,,-30.3,,12285,
206,Anheuser-Busch InBev SA/NV,BUD,Beverages,"Food, Beverages & Tobacco","Leuven, Belgium",Brouwerijplein 1,12,Carlos Brito,206633,45905,1241,3000,http://www.ab-inbev.com,,5.3,-85,258381,
207,Statoil ASA,STO,Petroleum Refining,Energy,"Stavanger, Norway",Forusbeen 50,23,Eldar Saetre,20539,45873,-2902,4035,http://www.statoil.com,,-23.4,,104530,
208,POSCO,PKX,Metals,Materials,"Seoul, South Korea",440 Teheran-ro,23,Oh-Joon Kwon,31768,45621,1167.5,6194,http://www.posco.com,,-11.8,669.8,66361,
209,Kia Motors Corporation,,Motor Vehicles and Parts,Motor Vehicles & Parts,"Seoul, South Korea",12 Heolleung-ro,6,Hyoung-Keun Lee,51357,45425,2373.8,801,http://www.kia.com,,3.7,2,42141,
210,Orange SA,ORAN,Telecommunications,Telecommunications,"Paris, France",78 Rue Olivier de Serres,23,Stephane Richard,155202,45249,3245.7,75015,http://www.orange.com,,1.3,10.3,99840,
211,China National Chemical Corporation,,Chemicals,Chemicals,"Beijing, China",62 Beisihuan W. Rd.,7,Ren Jianxin,110614,45177,17.9,100080,http://www.chemchina.com,,9.1,,54341,
212,Deutsche Bahn AG,,Railroads,Transportation,"Berlin, Germany",Potsdamer Platz 2,23,Richard Lutz,306368,44850,768.6,10785,http://www.deutschebahn.com,,0.1,,59716,
213,Continental AG,CTTAY,Motor Vehicles and Parts,Motor Vehicles & Parts,"Hanover, Germany",Vahrenwalder Str. 9,15,Elmar Degenhart,220137,44842,3099.1,30165,http://www.continental-corporation.com,,3,2.4,38151,
214,"HCA Holdings, Inc.",HCA,Health Care: Medical Facilities,Health Care,"Nashville, TN",1 Park Plaza,23,R. Milton Johnson,210500,44747,2890,37203,http://www.hcahealthcare.com,63,2.7,35.7,33758,Tennessee
215,Itochu Corporation,ITOCY,Trading,Wholesalers,"Osaka, Japan",3-1-3 Umeda,23,Masahiro Okafuji,110207,44654,3250.6,530-8448,http://www.itochu.co.jp,,5.5,62.3,72902,
216,"China Merchants Bank Co., Ltd.",CIHKY,Banks: Commercial and Savings,Financials,"Shenzhen, China",7088 Shennan Blvd.,6,Tian Huiyu,70461,44552,9344.8,518040,http://www.cmbchina.com,,-8.1,1.8,855070,
217,State Bank of India,SBKFF,Banks: Commercial and Savings,Financials,"Mumbai, India",Madame Cama Rd.,12,Arundhati Bhattacharya,278872,44533,36,400 021,http://www.sbi.co.in,,6.8,-98.1,530590,
218,Woolworths Limited,WOLWF,Food and Drug Stores,Food & Drug Stores,"Bella Vista, Australia",1 Woolworths Way,21,Brad Banducci,205000,43925,-898.3,2153,http://www.woolworthslimited.com.au,,-13.2,-150.3,17495,
219,KDDI Corporation,KDDIY,Telecommunications,Telecommunications,"Tokyo, Japan",3-10-10 Iidabashi,20,Takashi Tanaka,35032,43822,5045.1,102-8460,http://www.kddi.com,,17.8,22.5,56223,
220,Swiss Re Ltd.,SSREY,Insurance: Property and Casualty (Stock),Financials,"Zurich, Switzerland",Mythenquai 50/60,23,Christian Mumenthaler,14053,43786,3558,8022,http://www.swissre.com,,22.6,-22.6,215065,
221,"HBIS Group Co., Ltd.",,Metals,Materials,"Shijiazhuang, China",385 TiYu S. Rd.,9,Yu Yong,125552,43769,-146.8,50023,http://www.hbisco.com,,-3.3,,51858,
222,CEFC China Energy Company Limited,,,,,,0,,0,0,0,,,0,0,0,0,
223,"Banco Bilbao Vizcaya Argentaria, S.A.",BBVA,Banks: Commercial and Savings,Financials,"Bilbao, Spain",Plaza de San Nicolas 4,23,Carlos Torres Vila,134792,43698,3842.8,48005,http://www.bbva.com,,1.7,31.1,771837,
224,ThyssenKrupp AG,TKAMY,Metals,Materials,"Essen, Germany",ThyssenKrupp Allee 1,23,Heinrich Hiesinger,156487,43589,328.6,45143,http://www.thyssenkrupp.com,,-11,-7.1,39411,
225,Compagnie de Saint-Gobain,CODYY,"Building Materials, Glass",Materials,"Courbevoie, France",18 Ave. d'Alsace,23,Pierre-Andre de Chalendar,172696,43231,1449.8,92400,http://www.saint-gobain.com,,-6.4,0.9,46158,
226,Lenovo Group Limited,LNVGY,"Computers, Office Equipment",Technology,"Hong Kong, China",979 King's Rd.,8,Yang Yuanqing,52000,43035,535.1,,http://www.lenovo.com,,-4.2,,27186,
227,Vinci SA,VCISY,"Engineering, Construction",Engineering & Construction,"Rueil-Malmaison, France",1 Cours Ferdinand de Lesseps,17,Xavier Huillard,183487,42771,2770.1,92851,http://www.vinci.com,,-1.9,22.1,71642,
228,Nippon Steel & Sumitomo Metal Corporation,NSSMY,Metals,Materials,"Tokyo, Japan",2-6-1 Marunouchi,23,Kosei Shindo,100169,42757,1208.5,100-8071,http://www.nssmc.com,,4.6,-0.2,65182,
229,Bunge Limited,BG,Food Production,"Food, Beverages & Tobacco","White Plains, NY",50 Main St.,15,Soren W. Schroder,32000,42679,745,10606,http://www.bunge.com,,-1.8,-5.8,19188,New York
230,"Industrial Bank Co., Ltd.",,Banks: Commercial and Savings,Financials,"Fuzhou, China",154 Hudong Rd.,5,Tao Yiping,56236,42622,8105.9,350003,http://www.cib.com.cn,,-8.2,1.5,875731,
231,E.ON SE,EONGY,Energy,Energy,"Essen, Germany",Brusseler Platz 1,23,Johannes Teyssen,43138,42213,-9344.4,45131,http://www.eon.com,,-67.3,,67179,
232,Sberbank of Russia PJSC,SBRCY,Banks: Commercial and Savings,Financials,"Moscow, Russia",19 Vavilova St.,10,Herman O. Gref,325075,42159,8078,117997,http://www.sberbank.ru,,-7.6,121,415730,
233,China Shipbuilding Industry Corporation,,Industrial Machinery,Industrials,"Beijing, China",72 S. Kunminghu Rd.,7,Hu Wenming,182129,42149,485.8,100097,http://www.csic.com.cn,,17,-62.9,69621,
234,Christian Dior SE,CHDRY,Apparel,Apparel,"Paris, France",30 Ave. Montaigne,17,Sidney Toledano,120479,42113,1740.3,75008,http://www.dior-finance.com,,0.5,-38.7,69870,
235,The Coca-Cola Company,KO,Beverages,"Food, Beverages & Tobacco","Atlanta, GA",1 Coca-Cola Plaza,23,James B. Quincey,100300,41863,6527,30313,http://www.coca-colacompany.com,64,-5.5,-11.2,87270,Georgia
236,Denso Corporation,DNZOY,Motor Vehicles and Parts,Motor Vehicles & Parts,"Kariya, Japan",1-1 Showa-cho,23,Koji Arima,154493,41781,2377.6,448-8661,http://www.denso.com,,10.9,16.9,46233,
237,Fujitsu Limited,FJTSY,Information Technology Services,Technology,"Tokyo, Japan",1-5-2 Higashi-Shinbashi,23,Tatsuya Tanaka,155069,41620,816.7,105-7123,http://www.fujitsu.com,,5.4,13,28646,
238,"Guangzhou Automobile Industry Group Co., Ltd.",,Motor Vehicles and Parts,Motor Vehicles & Parts,"Guangzhou, China",23 Xingguo Rd.,5,Zeng Qinghong,75908,41560,551.9,510623,http://www.gagc.com.cn,,20.7,10.8,30267,
239,Wilmar International Limited,WLMIY,Food Production,"Food, Beverages & Tobacco",Singapore,56 Neil Rd.,9,Kuok Khoon Hong,90000,41402,972.2,88830,http://www.wilmar-international.com,,6.8,-7.9,37032,
240,Sanofi,SNY,Pharmaceuticals,Health Care,"Paris, France",54 Rue la Boetie,13,Olivier Brandicourt,113816,41376,5207.4,75008,http://www.sanofi.com,,-0.2,9.5,110390,
241,China United Network Communications Limited,,Telecommunications,Telecommunications,"Beijing, China",21 Finanical St.,9,Wang Xiaochu,253724,41274,23.2,100033,http://www.chinaunicom-a.com,,-6.4,-95.8,88626,
242,Sumitomo Life Insurance Company,,,,,,0,,0,0,0,,,0,0,0,0,
243,New York Life Insurance Company,,"Insurance: Life, Health (Mutual)",Financials,"New York, NY",51 Madison Ave.,23,Theodore A. Mathas,11320,40787,1088.1,10010,http://www.newyorklife.com,65,-11.1,324.1,287196,New York
244,Centene Corporation,CNC,Health Care: Insurance and Managed Care,Health Care,"St. Louis, MO",7700 Forsyth Blvd.,2,Michael F. Neidorff,30500,40721,562,63105,http://www.centene.com,66,78.6,58.3,20197,Missouri
245,"Shanghai Pudong Development Bank Co., Ltd.",,Banks: Commercial and Savings,Financials,"Shanghai, China",12 Zhongshan Dong Yi Rd.,5,Gao Guofu,52832,40689,7992.8,200002,http://www.spdb.com.cn,,-3.2,-0.7,842832,
246,Hanwha Corporation,,"Insurance: Life, Health (stock)",Financials,"Seoul, South Korea",86 Cheonggyecheon-ro,12,Tae-Jong Lee,49000,40606,423.7,4541,http://www.hanwhacorp.co.kr,,11,,128247,
247,Tata Motors Limited,TTM,Motor Vehicles and Parts,Motor Vehicles & Parts,"Mumbai, India",24 Homi Mody St.,8,Guenter Butschek,79558,40329,1111.6,400001,http://www.tatamotors.com,,-4.2,-34,42162,
248,Aluminum Corporation of China,,Metals,Materials,"Beijing, China",62 N. Xizhimen St.,10,Yu Dehui,121146,40278,-282.5,100082,http://www.chalco.com.cn,,6,,75089,
249,"Mitsui & Co., Ltd.",MITSY,Trading,Wholesalers,"Tokyo, Japan",1-1-3 Marunouchi,23,Tatsuo Yasunaga,42316,40275,2825.3,100 8631,http://www.mitsui.com,,1.6,,103231,
250,Manulife Financial Corporation,MFC,"Insurance: Life, Health (stock)",Financials,"Toronto, Ontario, Canada",200 Bloor St. E.,15,Donald A. Guloien,34500,40238,2209.7,M4W 1E5,http://www.manulife.com,,49.4,28.9,537461,
251,"China Minsheng Banking Corp., Ltd.",CMAKY,Banks: Commercial and Savings,Financials,"Beijing, China",2 Fuxingmennei Ave.,5,Zheng Wanchun,58720,40234,7201.6,100031,http://www.cmbc.com.cn,,-5.2,-1.8,848389,
252,"China Pacific Insurance (Group) Co., Ltd.",,"Insurance: Life, Health (stock)",Financials,"Shanghai, China",190 Yincheng Zhong Rd.,7,Huo Lianhong,97032,40193,1814.9,200120,http://www.cpic.com.cn,,2.2,-35.7,146873,
253,American Airlines Group Inc.,AAL,Airlines,Transportation,"Fort Worth, TX",4333 Amon Carter Blvd.,23,W. Douglas Parker,122300,40180,2676,76155,http://www.aa.com,67,-2,-64.8,51274,Texas
254,Nationwide Mutual Insurance Co.,,Insurance: Property and Casualty (Mutual),Financials,"Columbus, OH",1 Nationwide Blvd.,23,Stephen S. Rasmussen,34320,40074,334.3,43215,http://www.nationwide.com,68,-0.4,-42.4,197790,Ohio
255,"Merck & Co., Inc.",MRK,Pharmaceuticals,Health Care,"Kenilworth, NJ",2000 Galloping Hill Rd.,23,Kenneth C. Frazier,68000,39807,3920,7033,http://www.merck.com,69,0.8,-11.8,95377,New Jersey
256,CIGNA Corporation,CI,Health Care: Insurance and Managed Care,Health Care,"Bloomfield, CT",900 Cottage Grove Rd.,22,David M. Cordani,41000,39668,1867,6002,http://www.cigna.com,70,4.7,-10.8,59360,Connecticut
257,"Delta Air Lines, Inc.",DAL,Airlines,Transportation,"Atlanta, GA",1030 Delta Blvd.,23,Edward H. Bastian,83756,39639,4373,30354,http://www.delta.com,71,-2.6,-3.4,51261,Georgia
258,"Best Buy Co., Inc.",BBY,Specialty Retailers,Retailing,"Richfield, MN",7601 Penn Ave. S.,19,Hubert B. Joly,125000,39403,1228,55423,http://www.bestbuy.com,72,-0.9,36.9,13856,Minnesota
259,China National Building Material Group Corporation Limited,,"Building Materials, Glass",Materials,"Beijing, China",17 Fuxing Rd.,7,Song Zhiping,228448,39323,74.5,100036,http://www.cnbm.com.cn,,24,,81224,
260,Honeywell International Inc.,HON,"Electronics, Electrical Equip.",Technology,"Morris Plains, NJ",115 Tabor Rd.,23,Darius Adamczyk,131000,39302,4809,7950,http://www.honeywell.com,73,1.9,0.9,54146,New Jersey
261,"JD.com, Inc.",JD,Internet Services and Retailing,Technology,"Beijing, China",18 Kechuang 11 St.,2,Richard Qiangdong Liu,120622,39155,-573,101111,http://www.jd.com,,35.7,,23077,
262,Mitsubishi Electric Corporation,MIELY,"Electronics, Electrical Equip.",Technology,"Tokyo, Japan",2-7-3 Marunouchi,23,Masaki Sakuyama,138700,39119,1942.6,100-8310,http://www.mitsubishielectric.com,,6.9,2.1,37519,
263,ZF Friedrichshafen AG,,Motor Vehicles and Parts,Motor Vehicles & Parts,"Friedrichshafen, Germany",Graf von Soden Platz 1,4,Stefan Sommer,136820,38888,949.9,88046,http://www.zf.com,,20.2,-12.1,30719,
264,Caterpillar Inc.,CAT,Construction and Farm Machinery,Industrials,"Peoria, IL",100 N.E. Adams St.,23,D. James Umpleby III,95400,38537,-67,61629,http://www.caterpillar.com,74,-18,-103.2,74704,Illinois
265,Liberty Mutual Holding Company Inc.,,Insurance: Property and Casualty (Stock),Financials,"Boston, MA",175 Berkeley St.,23,David H. Long,50000,38308,1006,2116,http://www.libertymutual.com,75,-2.9,95.7,125592,Massachusetts
266,Power Corporation of Canada,PWCDF,"Insurance: Life, Health (stock)",Financials,"Montreal, Quebec, Canada",751 Victoria Sq.,19,Paul Desmarais Jr.,30259,38286,855.5,H2Y 2J3,http://www.powercorporation.com,0,0,0,0,
267,Morgan Stanley,MS,Banks: Commercial and Savings,Financials,"New York, NY",1585 Broadway,20,James P. Gorman,55311,37949,5979,10036,http://www.morganstanley.com,76,0.1,-2.4,814949,New York
268,"Hengli Group Co., Ltd.",,,,,,0,,0,0,0,,,0,0,0,0,
269,SSE plc,SSEZY,Utilities,Energy,"Perth, Britain",200 Dunkeld Rd.,12,Alistair Phillips-Davies,21157,37813,2082.9,PH1 3AQ,http://www.sse.com,,-12.7,200.3,29899,
270,Massachusetts Mutual Life Insurance Company,,"Insurance: Life, Health (Mutual)",Financials,"Springfield, MA",1295 State St.,21,Roger W. Crandall,11737,37788,1273.5,1111,http://www.massmutual.com,77,-1.2,-10.6,271040,Massachusetts
271,"The Goldman Sachs Group, Inc.",GS,Banks: Commercial and Savings,Financials,"New York, NY",200 West St.,18,Lloyd C. Blankfein,34400,37712,7398,10282,http://www.gs.com,78,-3.8,21.6,860165,New York
272,Johnson Controls International plc,JCI,Industrial Machinery,Industrials,"Cork, Ireland",1 Albert Quay,13,Alex A. Molinaroli,209000,37674,-868,T12 X8N6,http://www.johnsoncontrols.com,,-6.3,-155.5,63253,
273,GlaxoSmithKline plc,GSK,Pharmaceuticals,Health Care,"Brentford, Britain",980 Great West Rd.,23,Emma N. Walmsley,99300,37642,1230.9,TW8 9GS,http://www.gsk.com,,3,-90.4,72985,
274,China Huaneng Group,,Energy,Energy,"Beijing, China",6 Fuxingmennei Ave.,9,Cao Peixi,143691,37543,-85.9,100031,http://www.chng.com.cn,,-13.1,-111.1,144306,
275,"Energy Transfer Equity, L.P.",ETE,Pipelines,Energy,"Dallas, TX",8111 Westchester Dr.,4,John W. McReynolds,30992,37504,995,75225,http://www.energytransfer.com,79,-11,-16.3,79011,Texas
276,Shenhua Group Corporation Limited,,"Mining, Crude-Oil Production",Energy,"Beijing, China",22 Xibinhelu Andingmen,8,Ling Wen,202200,37322,1916.9,100011,http://www.shenhuagroup.com.cn,,-0.8,37.9,140911,
277,Greenland Holding Group Company Limited,,Real estate,Financials,"Shanghai, China",700 Dapu Rd.,6,Zhang Yuliang,39887,37240,1085.2,200023,http://www.ldjt.com.cn,,12.8,-1,105495,
278,Teachers Insurance and Annuity Association,,"Insurance: Life, Health (Mutual)",Financials,"New York, NY",730 Third Ave.,20,Roger W. Ferguson Jr.,12997,37105,1492.3,10017,http://www.tiaa.org,80,5.5,22.9,523194,New York
279,Jardine Matheson Holdings Limited,JMHLY,Motor Vehicles and Parts,Motor Vehicles & Parts,"Hong Kong, China",Jardine House,18,Ben Keswick,430000,37051,2503,,http://www.jardines.com,,0.1,39.3,71523,
280,Oracle Corporation,ORCL,Computer Software,Technology,"Redwood City, CA",500 Oracle Pkwy.,11,Safra A. Catz,136000,37047,8901,94065,http://www.oracle.com,81,-3.1,-10.4,112180,California
281,"Actividades de Construccion y Servicios, S.A.",ACSAY,"Engineering, Construction",Engineering & Construction,"Madrid, Spain",Avda. Pio XII 102,13,Florentino Perez Rodriguez,117542,36992,830.5,28036,http://www.grupoacs.com,,-4.5,3.2,35196,
282,Sumitomo Corporation,SSUMY,Trading,Wholesalers,"Tokyo, Japan",1-8-11 Harumi,23,Kuniharu Nakamura,70900,36888,1577.1,104-8610,http://www.sumitomocorp.co.jp,0,0,0,0,
283,"Tyson Foods, Inc.",TSN,Food Production,"Food, Beverages & Tobacco","Springdale, AR",2200 W. Don Tyson Pkwy.,16,Thomas P. Hayes,114000,36881,1768,72762,http://www.tysonfoods.com,82,-10.9,44.9,22373,Arkansas
284,Barclays PLC,BCS,Banks: Commercial and Savings,Financials,"London, Britain",1 Churchill Place,23,James E. Staley,119300,36789,2807.4,E14 5HP,http://www.barclays.com,,-25.7,,1498612,
285,Poste Italiane SpA,,"Insurance: Life, Health (stock)",Financials,"Rome, Italy",Viale Europa 190,12,Matteo Del Fante,136739,36617,687.8,144,http://www.posteitaliane.it,,7.4,12.3,203760,
286,Centrica plc,CPYYY,Utilities,Energy,"Windsor, Britain","Millstream, Maidenhead Rd.",20,Iain C. Conn,38278,36580,2256.7,SL4 5GD,http://www.centrica.com,,-14.4,,27046,
287,"United Continental Holdings, Inc.",UAL,Airlines,Transportation,"Chicago, IL",233 S. Wacker Dr.,22,Oscar Munoz,88000,36556,2263,60606,http://www.unitedcontinentalholdings.com,83,-3.5,-69.2,40140,Illinois
288,The Allstate Corporation,ALL,Insurance: Property and Casualty (Stock),Financials,"Northbrook, IL",2775 Sanders Rd.,22,Thomas J. Wilson,43275,36534,1877,60062,http://www.allstate.com,84,2.5,-13.5,108610,Illinois
289,PT Pertamina (Persero),,Petroleum Refining,Energy,"Jakarta, Indonesia",Jl. Medan Merdeka Timur 1A,5,Elia Massa Manik,27227,36487,3147,10110,http://www.pertamina.com,,-12.6,121.6,47233,
290,Magna International Inc.,MGA,Motor Vehicles and Parts,Motor Vehicles & Parts,"Aurora, Ontario, Canada",337 Magna Dr.,17,Donald J. Walker,155450,36445,2031,L4G 7K1,http://www.magna.com,,7.6,0.9,22566,
291,UBS Group AG,UBS,Banks: Commercial and Savings,Financials,"Zurich, Switzerland",Bahnhofstrasse 45,23,Sergio P. Ermotti,59387,36230,3252.2,8001,http://www.ubs.com,,-5.9,-49.6,920291,
