ranking,full name,ticker,industry,sector,hq location,hq address,years on list,ceo,eps,employees,revenues,profits,hq zip,website,market value,global 500 rank,revenue change,profit change,hq state
761,Metaldyne Performance Group Inc.,,Motor Vehicles and Parts,Motor Vehicles & Parts,"Southfield, MI",1 Towne Sq.,,David C. Dauch,1.39,12000,2791,96.3,48076,http://www.aam.com,1552,,-8.4,-23.1,MI
762,Medical Mutual of Ohio,,"Insurance: Life, Health (Mutual)",Financials,"Cleveland, OH",2060 E. Ninth St.,,Richard A. Chiricosta,,2238,2757,40.4,44115,http://www.medmutual.com,,,12,-66.2,OH
763,AMC Networks Inc.,AMCX,Entertainment,Media,"New York, NY",11 Penn Plaza,,Joshua W. Sapan,3.74,2186,2756,270.5,10001,http://www.amcnetworks.com,3975,,6.8,-26.2,NY
764,"Clean Harbors, Inc.",CLH,Waste Management,Business Services,"Norwell, MA",42 Longwater Dr.,,Alan S. McKim,-0.69,12400,2755,-39.9,2061,http://www.cleanharbors.com,3186,,-15.9,-190.4,MA
765,"Hovnanian Enterprises, Inc.",HOV,Homebuilders,Engineering & Construction,"Red Bank, NJ",110 W. Front St.,,Ara K. Hovnanian,-0.02,1961,2752,-2.8,7701,http://www.khov.com,335,,28.1,,NJ
766,"TrueBlue, Inc.",TBI,Temporary Help,Business Services,"Tacoma, WA",1015 A St.,,Steven C. Cooper,-0.37,6000,2751,-15.3,98402,http://www.trueblue.com,1164,,2,-121.4,WA
767,Crane Co.,CR,Industrial Machinery,Industrials,"Stamford, CT",100 First Stamford Place,,Max H. Mitchell,2.07,11000,2748,122.8,6902,http://www.craneco.com,4449,,0.3,-46.4,CT
768,"ServiceMaster Global Holdings, Inc.",SERV,Diversified Outsourcing Services,Business Services,"Memphis, TN",860 Ridge Lake Blvd.,,Nikhil Varty,1.13,13000,2746,155,38120,http://www.servicemaster.com,5611,,5.9,-3.1,TN
769,"Sinclair Broadcast Group, Inc.",SBGI,Entertainment,Media,"Hunt Valley, MD",10706 Beaver Dam Rd.,,Christopher S. Ripley,2.6,8400,2737,245.3,20130,http://www.sbgi.net,4151,,23.3,43,MD
770,Mutual of America Life Insurance Company,,"Insurance: Life, Health (Mutual)",Financials,"New York, NY",320 Park Ave.,,John R. Greed,,1086,2725,16.7,10022,http://www.mutualofamerica.com,,,9.2,-74.2,NY
771,"BGC Partners, Inc.",BGCP,Securities,Financials,"New York, NY",499 Park Ave.,,Howard W. Lutnick,0.36,8091,2721,102.5,10022,http://www.bgcpartners.com,3209,,-12.1,-19.2,NY
772,DSW Inc.,DSW,Specialty Retailers: Apparel,Retailing,"Columbus, OH",810 DSW Dr.,,Roger L. Rawlins,1.52,12600,2711,124.5,43219,http://www.dswinc.com,1658,,3.5,-8.5,OH
773,"Intuitive Surgical, Inc",ISRG,Medical Products and Equipment,Health Care,"Sunnyvale, CA",1020 Kifer Rd.,,Gary S. Guthart,18.73,3755,2704,735.9,94086,http://www.intuitivesurgical.com,28149,,13.4,25,CA
774,ArcBest Corporation,ARCB,"Trucking, Truck Leasing",Transportation,"Fort Smith, AR",3801 Old Greenwood Rd.,,Judy R. McReynolds,0.71,13000,2700,18.7,72903,http://www.arcb.com,666,,1.2,-58.4,AR
775,"PC Connection, Inc.",CNXN,Specialty Retailers: Other,Retailing,"Merrimack, NH",730 Milford Rd.,,Timothy J. McGrath,1.8,2501,2693,48.1,3054,http://www.connection.com,797,,4.6,2.7,NH
776,A.O. Smith Corporation,AOS,"Electronics, Electrical Equipment",Industrials,"Milwaukee, WI",11270 W. Park Place,,Ajita G. Rajendra,1.85,15450,2686,326.5,53224,http://www.aosmith.com,8874,,5.9,15.4,WI
777,"The Greenbrier Companies, Inc.",GBX,Transportation Equipment,Transportation,"Lake Oswego, OR",1 Centerpointe Dr.,,William A. Furman,5.73,9418,2680,183.2,97035,http://www.gbrx.com,1223,,2.8,-5,OR
778,Great Plains Energy Incorporated,GXP,Utilities: Gas and Electric,Energy,"Kansas City, MO",1200 Main St.,,Terry D. Bassham,1.61,2865,2676,290,64105,http://www.greatplainsenergy.com,6294,,6.9,36.2,MO
779,"The Bon-Ton Stores, Inc.",BONT,General Merchandisers,Retailing,"York, PA",2801 E. Market St.,,Kathryn J. Bufano,-3.18,23300,2674,-63.4,17402,http://www.bonton.com,18,,-4.1,,PA
780,"Dycom Industries, Inc.",DY,"Engineering, Construction",Engineering & Construction,"Palm Beach Gardens, FL",11770 U.S. Highway 1,,Steven E. Nielsen,3.89,12750,2673,128.7,33408,http://www.dycomind.com,2921,,32.2,52.7,FL
781,The Timken Company,TKR,Industrial Machinery,Industrials,"North Canton, OH",4500 Mount Pleasant St. N.W.,,Richard G. Kyle,1.92,14111,2670,152.6,44720,http://www.timken.com,3529,,-7.1,,OH
782,Aleris Corporation,,Metals,Materials,"Cleveland, OH",25825 Science Park Dr.,,Sean M. Stack,,5400,2664,-75.6,44122,http://www.aleris.com,,,-16.9,-255.2,OH
783,"Legg Mason, Inc.",LM,Securities,Financials,"Baltimore, MD",100 International Dr.,,Joseph A. Sullivan,-0.25,3066,2661,-25,21202,http://www.leggmason.com,3519,,-5.6,-110.6,MD
784,"Hill-Rom Holdings, Inc.",HRC,Medical Products and Equipment,Health Care,"Chicago, IL",2 Prudential Plaza,,John J. Greisch,1.86,10000,2655,124.1,60601,http://www.hill-rom.com,4613,,33.5,160.2,IL
785,Stifel Financial Corp.,SF,Securities,Financials,"St. Louis, MO",501 N. Broadway,,Ronald J. Kruszewski,1,7100,2642,81.5,63102,http://www.stifel.com,3420,,11.2,-11.7,MO
