ranking,full name,ticker,industry,sector,hq location,hq address,years on list,ceo,eps,employees,revenues,profits,hq zip,website,market value,global 500 rank,revenue change,profit change,hq state
1,"Wal-Mart Stores, Inc.",WMT,General Merchandisers,Retailing,"Bentonville, AR",702 S.W. Eighth St.,23,C. Douglas McMillon,4.38,2300000,485873,13643,72716,http://www.walmart.com,218619,1,0.8,-7.2,AR
2,Berkshire Hathaway Inc.,BRKA,Insurance: Property and Casualty (Stock),Financials,"Omaha, NE",3555 Farnam St.,23,Warren E. Buffett,14645,367700,223604,24074,68131,http://www.berkshirehathaway.com,411035,11,6.1,0,NE
3,"Apple, Inc.",AAPL,"Computers, Office Equipment",Technology,"Cupertino, CA",1 Infinite Loop,23,Timothy D. Cook,8.31,116000,215639,45687,95014,http://www.apple.com,753718,9,-7.7,-14.4,CA
4,Exxon Mobil Corporation,XOM,Petroleum Refining,Energy,"Irving, TX",5959 Las Colinas Blvd.,23,Darren W. Woods,1.88,72700,205004,7840,75039,http://www.exxonmobil.com,340056,6,-16.7,-51.5,TX
5,McKesson Corporation,MCK,Wholesalers: Health Care,Wholesalers,"San Francisco, CA",1 Post St.,23,John H. Hammergren,9.7,68000,192487,2258,94104,http://www.mckesson.com,31439,12,6.2,53,CA
6,UnitedHealth Group Incorporated,UNH,Health Care: Insurance and Managed Care,Health Care,"Minnetonka, MN",9900 Bren Rd. E.,23,Stephen J. Hemsley,7.25,230000,184840,7017,55343,http://www.unitedhealthgroup.com,157793,17,17.7,20.7,MN
7,CVS Health Corporation,CVS,Health Care: Pharmacy and Other Services,Health Care,"Woonsocket, RI",1 CVS Dr.,23,Larry J. Merlo,4.9,204000,177526,5317,2895,http://www.cvshealth.com,81310,18,15.8,1.5,RI
8,General Motors Company,GM,Motor Vehicles and Parts,Motor Vehicles & Parts,"Detroit, MI",300 Renaissance Center,23,Mary T. Barra,6,225000,166380,9427,48265,http://www.gm.com,52968,20,9.2,-2.7,MI
9,AT&T Inc.,T,Telecommunications,Telecommunications,"Dallas, TX",208 S. Akard St.,23,Randall L. Stephenson,2.1,268540,163786,12976,75202,http://www.att.com,255679,23,11.6,-2.8,TX
10,Ford Motor Company,F,Motor Vehicles and Parts,Motor Vehicles & Parts,"Dearborn, MI",1 American Rd.,23,James P. Hackett,1.15,201000,151800,4596,48126,http://www.ford.com,46349,21,1.5,-37.7,MI
11,AmerisourceBergen Corp.,ABC,Wholesalers: Health Care,Wholesalers,"Chesterbrook, PA",1300 Morris Dr.,23,Steven H. Collis,6.32,18500,146850,1427.9,19087,http://www.amerisourcebergen.com,19229,28,8,,PA
12,"Amazon.com, Inc.",AMZN,Internet Services and Retailing,Technology,"Seattle, WA",410 Terry Ave. N.,16,Jeffrey P. Bezos,4.9,341400,135987,2371,98109,http://www.amazon.com,423031,44,27.1,297.8,WA
13,General Electric Company,GE,Industrial Machinery,Industrials,"Boston, MA",41 Farnsworth St.,23,John L. Flannery Jr.,0.89,295000,126661,8831,2210,http://www.ge.com,259520,26,-9.8,,MA
14,Verizon Communications Inc.,VZ,Telecommunications,Telecommunications,"New York, NY",1095 Ave. of the Americas,23,Lowell C. McAdam,3.21,160900,125980,13127,10036,http://www.verizon.com,198900,30,-4.3,-26.6,NY
15,"Cardinal Health, Inc.",CAH,Wholesalers: Health Care,Wholesalers,"Dublin, OH",7000 Cardinal Place,23,George S. Barrett,4.32,37300,121546,1427,43017,http://www.cardinalhealth.com,25725,50,18.5,17.4,OH
16,Costco Wholesale Corporation,COST,General Merchandisers,Retailing,"Issaquah, WA",999 Lake Dr.,23,W. Craig Jelinek,5.33,172000,118719,2350,98027,http://www.costco.com,73606,38,2.2,-1.1,WA
17,"Walgreens Boots Alliance, Inc",WBA,Food and Drug Stores,Food & Drug Stores,"Deerfield, IL",108 Wilmot Rd.,23,Stefano Pessina,3.82,300000,117351,4173,60015,http://www.walgreensbootsalliance.com,89645,47,13.4,-1.1,IL
18,The Kroger Company,KR,Food and Drug Stores,Food & Drug Stores,"Cincinnati, OH",1014 Vine St.,23,W. Rodney McMullen,2.05,443000,115337,1975,45202,http://www.thekrogerco.com,26961,42,5,-3.1,OH
19,Chevron Corporation,CVX,Petroleum Refining,Energy,"San Ramon, CA",6001 Bollinger Canyon Rd.,23,John S. Watson,-0.27,55200,107567,-497,94583,http://www.chevron.com,203263,31,-18,-110.8,CA
20,Fannie Mae,FNMA,Diversified Financials,Financials,"Washington, DC",3900 Wisconsin Ave. N.W.,20,Timothy J. Mayopoulos,0.01,7000,107162,12313,20016,http://www.fanniemae.com,3011,40,-2.9,12.4,DC
21,JPMorgan Chase & Co.,JPM,Commercial Banks,Financials,"New York, NY",270 Park Ave.,23,James Dimon,6.19,243355,105486,24733,10017,http://www.jpmorganchase.com,313761,55,4.4,1.2,NY
22,Express Scripts Holding Company,ESRX,Health Care: Pharmacy and Other Services,Health Care,"St. Louis, MO",1 Express Way,18,Timothy C. Wentworth,5.39,25600,100288,3404.4,63121,http://www.express-scripts.com,39567,52,-1.4,37.5,MO
23,"The Home Depot, Inc.",HD,Specialty Retailers: Other,Retailing,"Atlanta, GA",2455 Paces Ferry Rd.,23,Craig A. Menear,6.45,406000,94595,7957,30339,http://www.homedepot.com,176368,69,6.9,13.5,GA
24,The Boeing Company,BA,Aerospace and Defense,Aerospace & Defense,"Chicago, IL",100 N. Riverside Plaza,23,Dennis A. Muilenburg,7.61,150540,94571,4895,60606,http://www.boeing.com,107546,61,-1.6,-5.4,IL
25,Wells Fargo & Company,WFC,Commercial Banks,Financials,"San Francisco, CA",420 Montgomery St.,23,Timothy J. Sloan,3.99,269100,94176,21938,94163,http://www.wellsfargo.com,278516,67,4.6,-4.2,CA
26,Bank of America Corporation,BAC,Commercial Banks,Financials,"Charlotte, NC",100 N. Tryon St.,23,Brian T. Moynihan,1.5,208024,93662,17906,28255,http://www.bankofamerica.com,236182,64,0.7,12.7,NC
27,Alphabet Inc.,GOOGL,Internet Services and Retailing,Technology,"Mountain View, CA",1600 Amphitheatre Pkwy.,12,Larry Page,27.85,72053,90272,19478,94043,http://www.abc.xyz,579426,94,20.4,19.1,CA
28,Microsoft Corporation,MSFT,Computer Software,Technology,"Redmond, WA",1 Microsoft Way,23,Satya Nadella,2.1,114000,85320,16798,98052,http://www.microsoft.com,508935,63,-8.8,37.8,WA
29,"Anthem, Inc.",ANTM,Health Care: Insurance and Managed Care,Health Care,"Indianapolis, IN",120 Monument Circle,23,Joseph R. Swedish,9.21,53000,84863,2469.8,46204,http://www.antheminc.com,43813,85,7.2,-3.5,IN
30,Citigroup Inc.,C,Commercial Banks,Financials,"New York, NY",388 Greenwich St.,23,Michael L. Corbat,4.72,219000,82386,14912,10013,http://www.citigroup.com,165394,70,-6.7,-13.5,NY
31,Comcast Corporation,CMCSA,Telecommunications,Telecommunications,"Philadelphia, PA",1 Comcast Center,22,Brian L. Roberts,1.79,159000,80403,8695,19103,http://www.comcastcorporation.com,178258,96,7.9,6.5,PA
32,International Business Machines Corporation,IBM,Information Technology Services,Technology,"Armonk, NY",1 New Orchard Rd.,23,Virginia M. Rometty,12.38,414400,79919,11872,10504,http://www.ibm.com,164251,82,-3.1,-10,NY
33,State Farm Insurance Cos.,,Insurance: Property and Casualty (Mutual),Financials,"Bloomington, IL",1 State Farm Plaza,23,Michael L. Tipsord,,68234,76132,350.3,61710,http://www.statefarm.com,,93,0.6,-94.4,IL
34,Phillips 66,PSX,Petroleum Refining,Energy,"Houston, TX",2331 CityWest Blvd.,5,Greg C. Garland,2.92,14800,72396,1555,77042,http://www.phillips66.com,40954,74,-16.9,-63.2,TX
35,Johnson & Johnson,JNJ,Pharmaceuticals,Health Care,"New Brunswick, NJ",1 Johnson & Johnson Plaza,23,Alex Gorsky,5.93,126400,71890,16540,8933,http://www.jnj.com,337642,103,2.6,7.3,NJ
36,The Procter & Gamble Company,PG,Household and Personal Products,Household Products,"Cincinnati, OH",1 Procter & Gamble Plaza,23,David S. Taylor,3.69,105000,71726,10508,45202,http://www.pg.com,229700,86,-8.9,49.3,OH
37,Valero Energy Corporation,VLO,Petroleum Refining,Energy,"San Antonio, TX",1 Valero Way,19,Joseph W. Gorder,4.94,9996,70166,2289,78249,http://www.valero.com,29746,83,-14.2,-42.6,TX
38,Target Corporation,TGT,General Merchandisers,Retailing,"Minneapolis, MN",1000 Nicollet Mall,23,Brian C. Cornell,4.7,323000,69495,2737,55403,http://www.target.com,30502,97,-5.8,-18.6,MN
39,Freddie Mac,FMCC,Diversified Financials,Financials,"McLean, VA",8200 Jones Branch Dr.,20,Donald H. Layton,0.03,5982,65665,7815,22102,http://www.freddiemac.com,1612,124,3.4,22.6,VA
40,"Lowe's Companies, Inc.",LOW,Specialty Retailers: Other,Retailing,"Mooresville, NC",1000 Lowe's Blvd.,23,Robert A. Niblock,3.47,240000,65017,3093,28117,http://www.lowes.com,70481,148,10.1,21.5,NC
41,Dell Technologies Inc.,,"Computers, Office Equipment",Technology,"Round Rock, TX",1 Dell Way,20,Michael S. Dell,,138000,64806,-1672,78682,http://www.delltechnologies.com,,,18.1,,TX
42,"MetLife, Inc.",MET,"Insurance: Life, Health (Stock)",Financials,"New York, NY",200 Park Ave.,23,Steven A. Kandarian,0.63,58000,63476,800,10166,http://www.metlife.com,57429,104,-9.3,-84.9,NY
43,Aetna Inc.,AET,Health Care: Insurance and Managed Care,Health Care,"Hartford, CT",151 Farmington Ave.,17,Mark T. Bertolini,6.41,49500,63155,2271,6156,http://www.aetna.com,44859,142,4.7,-5,CT
44,"PepsiCo, Inc.",PEP,Food Consumer Products,"Food, Beverages & Tobacco","Purchase, NY",700 Anderson Hill Rd.,23,Indra K. Nooyi,4.36,264000,62799,6329,10577,http://www.pepsico.com,159763,127,-0.4,16.1,NY
45,Archer-Daniels-Midland Company,ADM,Food Production,"Food, Beverages & Tobacco","Chicago, IL",77 W. Wacker Dr.,23,Juan R. Luciano,2.16,31800,62346,1279,60601,http://www.adm.com,26274,112,-7.9,-30.8,IL
46,"United Parcel Service, Inc.",UPS,"Mail, Package, and Freight Delivery",Transportation,"Atlanta, GA",55 Glenlake Pkwy. N.E.,23,David P. Abney,3.87,335520,60906,3431,30328,http://www.ups.com,93276,149,4.4,-29.2,GA
47,Intel Corporation,INTC,Semiconductors and Other Electronic Components,Technology,"Santa Clara, CA",2200 Mission College Blvd.,23,Brian M. Krzanich,2.12,106000,59387,10316,95054,http://www.intel.com,170539,158,7.3,-9.7,CA
48,"Prudential Financial, Inc.",PRU,"Insurance: Life, Health (Stock)",Financials,"Newark, NJ",751 Broad St.,23,John R. Strangfeld,9.71,49739,58779,4368,7102,http://www.prudential.com,45912,152,2.9,-22.6,NJ
49,"Albertsons Companies, Inc.",,Food and Drug Stores,Food & Drug Stores,"Boise, ID",250 Parkcenter Blvd.,13,Robert G. Miller,,274000,58734,-502.2,83706,http://www.albertsons.com,,,115.9,,ID
50,United Technologies Corporation,UTX,Aerospace and Defense,Aerospace & Defense,"Farmington, CT",10 Farm Springs Rd.,23,Gregory J. Hayes,6.12,201600,57244,5055,6032,http://www.utc.com,89957,136,-6.2,-33.6,CT
51,Marathon Petroleum Corporation,MPC,Petroleum Refining,Energy,"Findlay, OH",539 S. Main St.,6,Gary R. Heminger,2.21,44460,55858,1174,45840,http://www.marathonpetroleum.com%20,26679,120,-13.5,-58.8,OH
52,The Walt Disney Company,DIS,Entertainment,Media,"Burbank, CA",500 S. Buena Vista St.,23,Robert A. Iger,5.73,195000,55632,9391,91521,http://www.disney.com,179298,164,6,12,CA
53,Humana Inc.,HUM,Health Care: Insurance and Managed Care,Health Care,"Louisville, KY",500 W. Main St.,23,Bruce D. Broussard,4.07,51600,54379,614,40202,http://www.humana.com,29743,162,0.2,-51.9,KY
54,Pfizer Inc.,PFE,Pharmaceuticals,Health Care,"New York, NY",235 E. 42nd St.,23,Ian C. Read,1.17,96500,52824,7215,10017,http://www.pfizer.com,203725,186,8.1,3.7,NY
55,"American International Group, Inc.",AIG,Insurance: Property and Casualty (Stock),Financials,"New York, NY",175 Water St.,23,Brian Duperreault,-0.78,56400,52367,-849,10038,http://www.aig.com,61154,150,-10.2,-138.7,NY
56,Lockheed Martin Corporation,LMT,Aerospace and Defense,Aerospace & Defense,"Bethesda, MD",6801 Rockledge Dr.,23,Marillyn A. Hewson,17.49,97000,50658,5302,20817,http://www.lockheedmartin.com,77557,197,9.8,47.1,MD
57,Sysco Corporation,SYY,Wholesalers: Food and Grocery,Wholesalers,"Houston, TX",1390 Enclave Pkwy.,23,William J. DeLaney III,1.64,51900,50367,949.6,77077,http://www.sysco.com,28048,188,3.5,38.3,TX
58,FedEx Corporation,FDX,"Mail, Package, and Freight Delivery",Transportation,"Memphis, TN",942 S. Shady Grove Rd.,23,Frederick W. Smith,6.51,335767,50365,1820,38120,http://www.fedex.com,52178,192,6.1,73.3,TN
59,Hewlett Packard Enterprise Company,HPE,Information Technology Services,Technology,"Palo Alto, CA",3000 Hanover St.,1,Margaret C. Whitman,1.82,195000,50123,3161,94304,http://www.hpe.com,39288,,,,CA
60,"Cisco Systems, Inc.",CSCO,Network and Other Communications Equipment,Technology,"San Jose, CA",170 W. Tasman Dr.,21,Charles H. Robbins,2.11,73700,49247,10739,95134,http://www.cisco.com,169266,183,0.2,19.6,CA
61,HP Inc.,HPQ,"Computers, Office Equipment",Technology,"Palo Alto, CA",1501 Page Mill Rd.,23,Dion J. Weisler,1.43,49000,48238,2496,94304,http://www.hp.com,30231,48,-53.3,-45.2,CA
62,The Dow Chemical Company,DOW,Chemicals,Chemicals,"Midland, MI",2030 Dow Center,23,Andrew N. Liveris,3.52,56000,48158,4318,48674,http://www.dow.com,77460,187,-1.3,-43.8,MI
63,"HCA Holdings, Inc.",HCA,Health Care: Medical Facilities,Health Care,"Nashville, TN",1 Park Plaza,23,R. Milton Johnson,7.3,210500,44747,2890,37203,http://www.hcahealthcare.com,32966,212,2.7,35.7,TN
64,The Coca-Cola Company,KO,Beverages,"Food, Beverages & Tobacco","Atlanta, GA",1 Coca-Cola Plaza,23,James B. Quincey,1.49,100300,41863,6527,30313,http://www.coca-colacompany.com,182153,206,-5.5,-11.2,GA
65,New York Life Insurance Company,,"Insurance: Life, Health (Mutual)",Financials,"New York, NY",51 Madison Ave.,23,Theodore A. Mathas,,11320,40787,1088.1,10010,http://www.newyorklife.com,,198,-11.1,324.1,NY
66,Centene Corporation,CNC,Health Care: Insurance and Managed Care,Health Care,"St. Louis, MO",7700 Forsyth Blvd.,8,Michael F. Neidorff,3.43,30500,40721,562,63105,http://www.centene.com,12271,470,78.6,58.3,MO
67,American Airlines Group Inc.,AAL,Airlines,Transportation,"Fort Worth, TX",4333 Amon Carter Blvd.,23,W. Douglas Parker,4.81,122300,40180,2676,76155,http://www.aa.com,21326,236,-2,-64.8,TX
68,Nationwide Mutual Insurance Co.,,Insurance: Property and Casualty (Mutual),Financials,"Columbus, OH",1 Nationwide Blvd.,23,Stephen S. Rasmussen,,34320,40074,334.3,43215,http://www.nationwide.com,,241,-0.4,-42.4,OH
69,"Merck & Co., Inc.",MRK,Pharmaceuticals,Health Care,"Kenilworth, NJ",2000 Galloping Hill Rd.,23,Kenneth C. Frazier,1.41,68000,39807,3920,7033,http://www.merck.com,174454,246,0.8,-11.8,NJ
70,CIGNA Corporation,CI,Health Care: Insurance and Managed Care,Health Care,"Bloomfield, CT",900 Cottage Grove Rd.,23,David M. Cordani,7.19,41000,39668,1867,6002,http://www.cigna.com,37604,264,4.7,-10.8,CT
71,"Delta Air Lines, Inc.",DAL,Airlines,Transportation,"Atlanta, GA",1030 Delta Blvd.,23,Edward H. Bastian,5.79,83756,39639,4373,30354,http://www.delta.com,33586,239,-2.6,-3.4,GA
72,"Best Buy Co., Inc.",BBY,Specialty Retailers: Other,Retailing,"Richfield, MN",7601 Penn Ave. S.,23,Hubert B. Joly,3.81,125000,39403,1228,55423,http://www.bestbuy.com,15193,244,-0.9,36.9,MN
73,Honeywell International Inc.,HON,"Electronics, Electrical Equipment",Industrials,"Morris Plains, NJ",115 Tabor Rd.,23,Darius Adamczyk,6.2,131000,39302,4809,7950,http://www.honeywell.com,94991,256,1.9,0.9,NJ
74,Caterpillar Inc.,CAT,Construction and Farm Machinery,Industrials,"Peoria, IL",100 N.E. Adams St.,23,D. James Umpleby III,-0.11,95400,38537,-67,61629,http://www.caterpillar.com,54402,194,-18,-103.2,IL
75,Liberty Mutual Holding Company Inc.,,Insurance: Property and Casualty (Stock),Financials,"Boston, MA",175 Berkeley St.,23,David H. Long,,50000,38308,1006,2116,http://www.libertymutual.com,,249,-2.9,95.7,MA
76,Morgan Stanley,MS,Commercial Banks,Financials,"New York, NY",1585 Broadway,23,James P. Gorman,2.92,55311,37949,5979,10036,http://www.morganstanley.com,79947,263,0.1,-2.4,NY
77,Massachusetts Mutual Life Insurance Company,,"Insurance: Life, Health (Mutual)",Financials,"Springfield, MA",1295 State St.,23,Roger W. Crandall,,11737,37788,1273.5,1111,http://www.massmutual.com,,258,-1.2,-10.6,MA
78,"The Goldman Sachs Group, Inc.",GS,Commercial Banks,Financials,"New York, NY",200 West St.,18,Lloyd C. Blankfein,16.29,34400,37712,7398,10282,http://www.gs.com,91380,252,-3.8,21.6,NY
79,"Energy Transfer Equity, L.P.",ETE,Pipelines,Energy,"Dallas, TX",8111 Westchester Dr.,11,John W. McReynolds,0.92,30992,37504,995,75225,http://www.energytransfer.com,21292,225,-11,-16.3,TX
80,Teachers Insurance and Annuity Association,,"Insurance: Life, Health (Mutual)",Financials,"New York, NY",730 Third Ave.,20,Roger W. Ferguson Jr.,,12997,37105,1492.3,10017,http://www.tiaa.org,,291,5.5,22.9,NY
81,Oracle Corporation,ORCL,Computer Software,Technology,"Redwood City, CA",500 Oracle Pkwy.,22,"Safra A. Catz, Mark V. Hurd",2.07,136000,37047,8901,94065,http://www.oracle.com,183556,260,-3.1,-10.4,CA
82,"Tyson Foods, Inc.",TSN,Food Production,"Food, Beverages & Tobacco","Springdale, AR",2200 W. Don Tyson Pkwy.,23,Thomas P. Hayes,4.53,114000,36881,1768,72762,http://www.tysonfoods.com,22028,235,-10.9,44.9,AR
83,"United Continental Holdings, Inc.",UAL,Airlines,Transportation,"Chicago, IL",233 S. Wacker Dr.,23,Oscar Munoz,6.85,88000,36556,2263,60606,http://www.unitedcontinentalholdings.com,22225,265,-3.5,-69.2,IL
84,The Allstate Corporation,ALL,Insurance: Property and Casualty (Stock),Financials,"Northbrook, IL",2775 Sanders Rd.,22,Thomas J. Wilson,4.67,43275,36534,1877,60062,http://www.allstate.com,29754,283,2.5,-13.5,IL
85,"Publix Super Markets, Inc.",,Food and Drug Stores,Food & Drug Stores,"Lakeland, FL",3300 Publix Corporate Pkwy.,23,Randall T. Jones Sr.,2.63,191000,34274,2025.7,33811,http://www.publix.com,,317,5.1,3.1,FL
86,American Express Company,AXP,Diversified Financials,Financials,"New York, NY",200 Vesey St.,23,Kenneth I. Chenault,5.65,56400,33823,5408,10285,http://www.americanexpress.com,71193,302,-1.8,4.7,NY
87,"The TJX Companies, Inc.",TJX,Specialty Retailers: Apparel,Retailing,"Framingham, MA",770 Cochituate Rd.,23,Ernie L. Herrman,3.46,235000,33184,2298.2,1701,http://www.tjx.com,51053,338,7.2,0.9,MA
88,"Nike, Inc.",NKE,Apparel,Apparel,"Beaverton, OR",1 Bowerman Dr.,23,Mark G. Parker,2.16,70700,32376,3760,97005,http://www.nike.com,92204,343,5.8,14.9,OR
89,Exelon Corporation,EXC,Utilities: Gas and Electric,Energy,"Chicago, IL",10 S. Dearborn St.,23,Christopher M. Crane,1.22,34396,31360,1134,60603,http://www.exeloncorp.com,33309,355,6.5,-50,IL
90,General Dynamics Corporation,GD,Aerospace and Defense,Aerospace & Defense,"Falls Church, VA",2941 Fairview Park Dr.,23,Phebe N. Novakovic,9.52,98800,31353,2955,22042,http://www.generaldynamics.com,56791,330,-0.4,-0.3,VA
91,Rite Aid Corporation,RAD,Food and Drug Stores,Food & Drug Stores,"Camp Hill, PA",30 Hunter Lane,23,John T. Standley,0.16,70580,30737,165.5,17011,http://www.riteaid.com,4473,340,15.9,-92.2,PA
92,"Gilead Sciences, Inc.",GILD,Pharmaceuticals,Health Care,"Foster City, CA",333 Lakeside Dr.,9,John F. Milligan,9.94,9000,30390,13501,94404,http://www.gilead.com,88788,316,-6.9,-25.4,CA
93,CHS Inc.,,Food Production,"Food, Beverages & Tobacco","Inver Grove Heights, MN",5500 Cenex Dr.,18,Jay D. Debertin,,12157,30347,424.2,55077,http://www.chsinc.com,,299,-12.2,-45.7,MN
94,3M Company,MMM,Miscellaneous,Industrials,"St. Paul, MN",3M Center,23,Inge G. Thulin,8.16,91584,30109,5050,55144,http://www.3m.com,114338,348,-0.5,4.5,MN
95,Time Warner Inc.,TWX,Entertainment,Media,"New York, NY",1 Time Warner Center,18,Jeffrey L. Bewkes,4.96,25000,29318,3926,10019,http://www.timewarner.com,75660,376,4.3,2.4,NY
96,"Charter Communications, Inc.",CHTR,Telecommunications,Telecommunications,"Stamford, CT",400 Atlantic St.,17,Thomas M. Rutledge,15.94,91500,29003,3522,6901,http://www.charter.com,100595,,197.3,,CT
97,"Northwestern Mutual Life Insurance Company, Inc.",,"Insurance: Life, Health (Mutual)",Financials,"Milwaukee, WI",720 E. Wisconsin Ave.,23,John E. Schlifske,,5646,28799,818,53202,http://www.northwesternmutual.com,,377,2.4,0.4,WI
98,"Facebook, Inc.",FB,Internet Services and Retailing,Technology,"Menlo Park, CA",1601 Willow Rd.,5,Mark Zuckerberg,3.49,17048,27638,10217,94025,http://www.facebook.com,410522,,54.2,177,CA
99,"The Travelers Companies, Inc.",TRV,Insurance: Property and Casualty (Stock),Financials,"New York, NY",485 Lexington Ave.,23,Alan D. Schnitzer,10.28,30900,27625,3014,10017,http://www.travelers.com,33689,397,3.1,-12.4,NY
100,Capital One Financial Corporation,COF,Commercial Banks,Financials,"McLean, VA",1680 Capital One Dr.,18,Richard D. Fairbank,6.89,47300,27519,3751,22102,http://www.capitalone.com,41831,430,9.6,-7.4,VA
101,"Twenty-First Century Fox, Inc.",FOXA,Entertainment,Media,"New York, NY",1211 Ave. of the Americas,13,James R. Murdoch,1.42,21500,27326,2755,10036,http://www.21cf.com,59949,360,-5.7,-66.8,NY
102,United Services Automobile Association,,Insurance: Property and Casualty (Stock),Financials,"San Antonio, TX",9800 Fredericksburg Rd.,23,Stuart Parker,,29943,27131,1779.1,78288,http://www.usaa.com,,444,11.4,-21.7,TX
103,World Fuel Services Corporation,INT,Energy,Energy,"Miami, FL",9800 N.W. 41st St.,13,Michael J. Kasbar,1.81,5000,27016,126.5,33178,http://www.wfscorp.com,2535,346,-11.1,-27.5,FL
104,Philip Morris International Inc.,PM,Tobacco,"Food, Beverages & Tobacco","New York, NY",120 Park Ave.,9,Andre Calantzopoulos,4.48,79500,26685,6967,10017,http://www.pmi.com,175349,398,-0.4,1.4,NY
105,Deere & Company,DE,Construction and Farm Machinery,Industrials,"Moline, IL",1 John Deere Place,23,Samuel R. Allen,4.81,56767,26644,1523.9,61265,http://www.johndeere.com,34648,364,-7.7,-21.4,IL
106,The Kraft Heinz Company,KHC,Food Consumer Products,"Food, Beverages & Tobacco","Pittsburgh, PA",1 PPG Place,23,Bernardo Hees,2.81,41000,26487,3632,15222,http://www.kraftheinzcompany.com,110528,,44.4,472.9,PA
107,Tech Data Corporation,TECD,Wholesalers: Electronics and Office Equipment,Wholesalers,"Clearwater, FL",5350 Tech Data Dr.,23,Robert M. Dutkowsky,5.51,9500,26235,195.1,33760,http://www.techdata.com,3569,409,-0.5,-26.6,FL
108,"Avnet, Inc.",AVT,Wholesalers: Electronics and Office Equipment,Wholesalers,"Phoenix, AZ",2211 S. 47th St.,23,William J. Amelio,3.8,17700,26219,506.5,85034,http://www.avnet.com,5898,380,-6.1,-11.4,AZ
109,"Mondelez International, Inc.",MDLZ,Food Consumer Products,"Food, Beverages & Tobacco","Deerfield, IL",3 Pkwy. N.,10,Irene B. Rosenfeld,1.05,90000,25923,1659,60015,http://www.mondelezinternational.com,65676,352,-12.5,-77.2,IL
110,"Macy's, Inc.",M,General Merchandisers,Retailing,"Cincinnati, OH",7 W. Seventh St.,23,Jeffrey Gennette,1.99,148300,25778,619,45202,http://www.macysinc.com,9046,389,-4.8,-42.3,OH
111,AbbVie Inc.,ABBV,Pharmaceuticals,Health Care,"North Chicago, IL",1 N. Waukegan Rd.,4,Richard A. Gonzalez,3.63,30000,25638,5953,60064,http://www.abbvie.com,103838,469,12.2,15.7,IL
112,McDonald's Corporation,MCD,Food Services,"Hotels, Restaurants & Leisure","Oak Brook, IL",1 McDonald's Plaza,23,Stephen J. Easterbrook,5.44,375000,24622,4686.5,60523,http://www.aboutmcdonalds.com,106150,420,-3.1,3.5,IL
113,E.I. du Pont de Nemours and Company,DD,Chemicals,Chemicals,"Wilmington, DE",974 Centre Rd.,23,Edward D. Breen,2.85,46000,24594,2513,19805,http://www.dupont.com,69451,379,-12,28.7,DE
114,Northrop Grumman Corporation,NOC,Aerospace and Defense,Aerospace & Defense,"Falls Church, VA",2980 Fairview Park Dr.,23,Wesley G. Bush,12.19,67000,24508,2200,22042,http://www.northropgrumman.com,41577,450,4.2,10.6,VA
115,ConocoPhillips,COP,"Mining, Crude-Oil Production",Energy,"Houston, TX",600 N. Dairy Ashford Rd.,23,Ryan M. Lance,-2.91,13300,24360,-3615,77079,http://www.conocophillips.com,61692,339,-21.3,,TX
116,Raytheon Company,RTN,Aerospace and Defense,Aerospace & Defense,"Waltham, MA",870 Winter St.,23,Thomas A. Kennedy,7.44,63000,24069,2211,2451,http://www.raytheon.com,44664,457,3.5,6.6,MA
117,Andeavor Corporation,ANDV,Petroleum Refining,Energy,"San Antonio, TX",19100 Ridgewood Pkwy.,18,Gregory J. Goff,6.12,6308,24005,734,78259,http://www.andeavor.com,9515,375,-14.7,-52.3,TX
118,"Arrow Electronics, Inc",ARW,Wholesalers: Electronics and Office Equipment,Wholesalers,"Centennial, CO",9201 E. Dry Creek Rd.,23,Michael J. Long,5.68,18700,23825,522.8,80112,http://www.arrow.com,6546,455,2.3,5,CO
119,Qualcomm Incorporated,QCOM,Semiconductors and Other Electronic Components,Technology,"San Diego, CA",5775 Morehouse Dr.,18,Steven M. Mollenkopf,3.81,30500,23554,5705,92121,http://www.qualcomm.com,84694,422,-6.8,8.2,CA
120,The Progressive Corporation,PGR,Insurance: Property and Casualty (Stock),Financials,"Mayfield Village, OH",6300 Wilson Mills Rd.,23,Susan Patricia Griffith,1.76,31721,23441,1031,44143,http://www.progressive.com,22760,,12.4,-18.7,OH
121,Duke Energy Corporation,DUK,Utilities: Gas and Electric,Energy,"Charlotte, NC",550 S. Tryon St.,23,Lynn J. Good,3.11,28798,23369,2152,28202,http://www.duke-energy.com,57397,446,-1,-23.6,NC
122,Enterprise Products Partners L.P.,EPD,Pipelines,Energy,"Houston, TX",1100 Louisiana St.,12,A. James Teague,1.2,6800,23022,2513.1,77002,http://www.enterpriseproducts.com,58522,392,-14.8,-0.3,TX
123,Amgen Inc.,AMGN,Pharmaceuticals,Health Care,"Thousand Oaks, CA",1 Amgen Center Dr.,18,Robert A. Bradway,10.24,19200,22991,7722,91320,http://www.amgen.com,120830,487,6.1,11.3,CA
124,US Foods Holding Corp.,USFD,Wholesalers: Food and Grocery,Wholesalers,"Rosemont, IL",9399 W. Higgins Rd.,6,Pietro Satriano,1.03,25000,22919,209.8,60018,http://www.usfoods.com,6207,461,-0.9,25.2,IL
125,U.S. Bancorp,USB,Commercial Banks,Financials,"Minneapolis, MN",800 Nicollet Mall,19,Andrew J. Cecere,3.24,71191,22744,5888,55402,http://www.usbank.com,87201,490,5.8,0.2,MN
